year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,10.00,10.00,5.71,1.43,6.29,2.86,0.00,,,0.00,0.00,0.00,0.00,0.52,II-24,F
2017,10.00,10.00,1.43,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.31,SR-45,F
2017,4.29,0.00,7.14,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.16,SR 28,F
2017,10.00,10.00,2.86,8.71,0.00,0.00,0.00,,10.00,0.00,10.00,10.00,4.00,5.41,MM,F
2017,10.00,10.00,10.00,10.00,1.43,1.43,1.00,,5.20,0.00,9.10,0.00,0.00,2.42,II-10,F
2017,10.00,10.00,10.00,10.00,1.43,2.86,10.00,,,0.00,10.00,0.00,7.00,3.86,MI-5,F
2017,10.00,10.00,10.00,10.00,10.00,10.00,0.60,,6.20,10.00,10.00,10.00,10.00,9.49,SS,F
2017,10.00,5.71,2.86,8.71,0.00,0.00,0.00,,2.10,0.00,0.00,0.00,0.00,0.60,II-23,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,10.00,10.00,10.00,10.00,10.00,5.71,4.20,3.00,9.50,9.50,7.50,9.00,0.00,6.70,MS,F
2017,10.00,8.86,10.00,7.14,9.29,5.71,4.20,3.00,9.10,2.50,10.00,10.00,9.00,7.45,MS,F
2017,2.86,0.57,8.57,10.00,1.43,0.00,0.00,,6.10,0.00,0.00,0.00,0.00,0.94,II-20,F
2017,10.00,10.00,8.57,10.00,0.00,10.00,0.00,,10.00,0.00,0.00,10.00,0.00,3.29,MI-10,F
2016,10.00,10.00,10.00,10.00,1.43,0.00,9.00,,10.00,0.00,10.00,10.00,6.00,6.16,MM,G
2016,10.00,10.00,10.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.43,II-33,G
2016,10.00,10.00,10.00,10.00,9.29,8.29,7.90,,9.30,8.30,10.00,0.00,0.00,5.42,MM,G
2016,10.00,10.00,10.00,10.00,9.29,8.57,9.00,,9.70,10.00,10.00,7.00,8.00,8.97,MS,G
2016,10.00,5.00,0.00,7.14,10.00,7.71,9.90,5.00,9.30,0.00,10.00,10.00,3.00,5.33,MM,G
2016,8.57,7.14,8.57,8.57,8.14,5.00,2.00,5.00,9.80,3.33,0.00,5.00,2.00,3.79,MI-24,G
2016,10.00,10.00,10.00,9.57,10.00,9.14,6.00,5.00,10.00,10.00,10.00,10.00,8.00,9.39,SS,G
2016,10.00,6.71,9.29,10.00,9.71,8.43,6.10,5.00,6.70,10.00,10.00,10.00,10.00,9.49,SS,G
2016,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.14,TR,G
2016,10.00,8.57,7.14,8.71,8.14,4.29,3.50,5.00,8.60,10.00,10.00,10.00,10.00,9.55,SS,G
2016,10.00,10.00,10.00,10.00,10.00,5.14,4.00,5.00,9.90,10.00,10.00,7.00,9.00,9.07,SS,G
2016,10.00,6.14,8.57,3.00,7.71,2.86,6.00,,9.70,3.98,10.00,10.00,2.00,6.12,MM,G
2016,10.00,10.00,8.57,10.00,9.57,4.29,2.40,5.00,10.00,9.00,10.00,10.00,10.00,9.49,SS,G
2016,7.14,0.00,2.86,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.14,TR,G
2016,10.00,10.00,10.00,10.00,10.00,9.14,2.00,,9.70,10.00,10.00,10.00,10.00,9.84,SS,G
2016,10.00,10.00,10.00,8.57,10.00,5.29,5.00,5.00,9.20,10.00,10.00,10.00,10.00,9.72,SS,G
2016,7.14,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.10,TR,G
2016,10.00,10.00,4.43,10.00,10.00,8.43,6.40,5.00,10.00,6.23,9.50,9.00,3.50,7.03,MS,G
2016,10.00,10.00,1.43,10.00,9.57,7.00,3.00,5.00,6.50,10.00,10.00,8.00,0.00,6.63,MS,G
2016,10.00,0.00,2.86,0.00,0.00,0.00,0.00,,,0.50,0.00,0.00,0.00,0.31,TR,G
2016,10.00,10.00,6.71,10.00,1.43,2.86,6.00,5.00,10.00,9.00,10.00,4.00,0.00,6.03,MM,G
2016,8.57,10.00,4.29,5.71,9.86,4.29,6.00,,9.50,0.00,7.50,10.00,2.00,4.78,MM,G
2016,10.00,10.00,5.71,10.00,10.00,7.00,6.40,5.00,10.00,9.58,9.75,2.00,5.00,7.18,MS,G
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,9.90,10.00,10.00,10.00,10.00,9.93,SS,G
2017,10.00,10.00,10.00,6.86,9.86,0.14,7.10,,6.30,0.00,6.50,10.00,8.00,5.83,MM,G
2017,10.00,10.00,10.00,10.00,10.00,9.71,10.00,5.00,10.00,10.00,10.00,10.00,10.00,9.93,SS,G
2016,10.00,10.00,7.14,10.00,10.00,5.57,6.00,5.00,9.30,10.00,10.00,8.00,10.00,9.41,SS,G
2012,1.43,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.02,SR-95,H
2013,8.57,4.00,0.14,4.29,9.86,4.43,7.00,,,0.00,0.00,0.00,0.00,0.55,SR-27,H
2014,10.00,10.00,7.14,0.00,4.29,0.00,0.00,,,0.00,0.00,0.00,0.00,0.45,SR-50,H
2015,10.00,10.00,10.00,9.00,2.86,8.57,5.00,,6.50,10.00,10.00,7.00,0.00,6.56,MS,H
2016,10.00,5.57,0.71,2.86,0.00,0.00,0.00,,,0.00,1.00,0.00,0.00,0.41,TR,H
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,H
