,year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
72,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,9,11.3,0,SS,C
73,2017,10.0,5.71,1.43,2.86,10.0,10.0,10.0,10.0,10.0,0,8,5.73,0,MM,C
74,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,C
75,2017,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10,6,9.95,0,SS,C
76,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,C
77,2017,10.0,10.0,7.14,10.0,10.0,10.0,10.0,10.0,10.0,0,9,6.25,0,MM,C
78,2017,8.57,7.14,5.71,0.0,0.0,0.0,0.0,0.0,10.0,3,8,6.5,0,MS,C
79,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,C
80,2017,7.14,1.43,0.0,0.0,0.0,0.0,0.0,0.0,9.5,10,0,8.01,0,MS,C
81,2017,5.71,5.71,5.71,2.86,6.43,5.71,6.71,0.0,5.5,10,8,8.98,0,SS,C
82,2017,5.71,1.43,0.0,0.0,8.71,10.0,10.0,0.0,0.0,0,7,2.07,0,II,C
83,2017,10.0,8.57,5.71,2.86,5.29,1.43,0.0,0.0,10.0,10,4,9.43,0,SS,C
84,2017,10.0,10.0,4.57,7.43,0.0,0.0,1.43,10.0,8.5,0,0,3.36,0,TR,C
85,2017,10.0,5.71,10.0,2.14,9.57,5.0,0.0,0.0,10.0,0,9,5.6,0,MM,C
86,2012,8.57,7.14,4.29,2.86,5.71,5.0,0.0,1.43,0.5,0,10,2.81,0,MI,D
87,2014,8.57,2.86,2.86,0.0,5.71,4.14,0.0,1.43,0.0,2,6,2.68,0,MI,D
88,2014,4.29,1.43,2.86,0.0,0.0,0.0,0.0,1.43,0.0,0,8,1.79,0,II,D
89,2015,10.0,5.71,8.71,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0.59,0,TR,D
90,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,D
91,2017,5.71,8.57,1.43,7.14,5.71,2.86,0.0,0.0,0.0,0,6,1.79,0,II,D
92,2017,8.57,8.57,4.29,7.14,0.0,0.0,0.0,0.0,0.0,0,0,0.54,0,TR,D
93,2017,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.11,0,TR,D
94,2017,10.0,8.57,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0,8,2.06,28,SR,D
95,2017,10.0,10.0,10.0,10.0,10.0,10.0,9.86,8.57,10.0,10,6,10.67,0,SS,D
96,2017,8.57,7.14,10.0,8.57,0.0,0.0,0.0,0.0,0.0,0,0,0.64,0,TR,D
97,2017,5.71,10.0,1.43,1.43,4.0,0.0,0.0,0.0,0.0,0,0,0.42,0,TR,D
98,2017,10.0,10.0,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0,0,0.48,0,TR,D
99,2017,10.0,10.0,5.71,10.0,10.0,10.0,10.0,7.71,0.5,10,9,8.33,0,MS,D
100,2017,10.0,8.57,2.86,7.29,0.0,0.0,0.0,0.0,0.0,0,0,0.54,0,TR,D
